"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1900,35.7999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1901,54.9000015258789,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1902,71.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1903,55.9000015258789,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1904,30,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1905,31,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1906,46.7000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1907,26.3999996185303,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1908,29.2000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1909,18.2999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1910,21.1000003814697,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1911,62.7000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1912,29.2000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1913,27.2000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1914,50.7999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1915,68.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1916,41.9000015258789,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1917,21.2999992370605,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1918,37.0999984741211,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1919,25.3999996185303,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1920,30.2000007629395,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
1921,19.1000003814697,53.55,-113.5,59,658,39.5271185535496,49.3105100255108,"North America",105.900001525879,252
